stdio    D C:\LIBS5303Build\allegro5\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\Kirk\Documents\GitHub\BreakoutLevelEditor\bin\Debug\allegro5.cfg r
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03021] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03022] added dtor for sample_instance 015BD520, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03023] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03023] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03024] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03024] added dtor for sample_instance 015BD610, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03030] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03031] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03032] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03033] added dtor for sample_instance 015BD970, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03033] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03034] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03034] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03035] added dtor for sample_instance 015BDE68, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03036] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03036] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03037] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03037] added dtor for sample_instance 015BD008, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03047] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03048] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03049] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03050] added dtor for sample_instance 015BD0F8, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03050] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03051] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03051] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03052] added dtor for sample_instance 015BDFE8, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03053] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03053] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03054] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03055] added dtor for sample_instance 015BE0D8, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03055] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03056] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03056] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03057] added dtor for sample_instance 015BE1C8, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03058] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03058] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03059] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03059] added dtor for sample_instance 015BE2B8, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03060] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03061] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03062] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03062] added dtor for sample_instance 015BE3A8, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03063] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03063] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03064] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03065] added dtor for sample_instance 015BE498, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03065] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03066] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03066] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03067] added dtor for sample_instance 015BE588, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03068] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03068] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03069] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03069] added dtor for sample_instance 015BE678, func 004F7F9B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03070] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03070] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03071] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03183] added dtor for queue 015BEE78, func 0042270B
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.03202] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:682  load_library_at_path             [   0.03203] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I C:\LIBS5303Build\allegro5\src\win\wsystem.c:685  load_library_at_path             [   0.03474] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:674  d3d_init_display                 [   0.04214] Render-to-texture: 1
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1769 d3d_create_display_locked        [   0.04285] faux_fullscreen=0
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1770 d3d_create_display_locked        [   0.04286] al_display=02EE2200
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1771 d3d_create_display_locked        [   0.04287] al_display->vt=015BE768
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04499] found 64 format combinations
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04504] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04506] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04507] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04509] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04510] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04511] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04511] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04512] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04513] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04513] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04514] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04515] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04515] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04516] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04516] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04517] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04518] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04519] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04520] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04521] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04521] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04522] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04522] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04523] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04524] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04524] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04525] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04526] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04526] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04541] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04542] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04543] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04544] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04545] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04545] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04546] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04547] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04547] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04548] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04549] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04549] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04550] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04550] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04551] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04552] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04552] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04553] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04554] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04554] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04555] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04555] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04556] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04557] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04557] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04558] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04559] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04559] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04560] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04561] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04561] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04562] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04563] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04563] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04564] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04564] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04565] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04566] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04566] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04567] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04568] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04569] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04569] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04570] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04570] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04571] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04572] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04572] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04573] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04573] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04574] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04575] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04575] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04576] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04576] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04577] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04578] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04578] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04579] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04579] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04580] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04581] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04581] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04582] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04582] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.04583] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04584] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04584] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04585] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04586] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04586] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04587] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04587] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04588] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04589] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04589] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04590] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.04591] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.04592] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
